2026-03-31 11:06:48,936 - INFO - Поврежденный элемент: T1; Тип КЗ: single_phase; Ток КЗ: 1928 А; Сработала защита TZ_T1_res_1; Отключенные выключатели: QT1_HV, QT1_LV
2026-03-31 11:06:48,937 - INFO - Поврежденный элемент: W3E; Тип КЗ: two_phase; Ток КЗ: 1690 А; Сработала защита LZ_W3E_main; Отключенные выключатели: Q3, QS2
2026-03-31 11:06:48,937 - INFO - Поврежденный элемент: W1E; Тип КЗ: three_phase; Ток КЗ: 4564 А; Сработала защита LZ_W1E_main_1; Отключенные выключатели: Q1, QS1
2026-03-31 11:06:48,937 - INFO - Поврежденный элемент: W1E; Тип КЗ: three_phase; Ток КЗ: 4026 А; Сработала защита LZ_W1E_main_1; Отключенные выключатели: Q1, QS1
2026-03-31 11:06:48,939 - INFO - Поврежденный элемент: W2E; Тип КЗ: single_phase; Ток КЗ: 2453 А; Сработала защита LZ_W2E_main_1; Отключенные выключатели: Q2, QS1
2026-03-31 11:06:48,939 - INFO - Поврежденный элемент: B1; Тип КЗ: single_phase; Ток КЗ: 2712 А; Сработала защита BZ_B1_main_1; Отключенные выключатели: QS1, QT1_HV
2026-03-31 11:06:48,939 - INFO - Поврежденный элемент: W3E; Тип КЗ: two_phase; Ток КЗ: 2037 А; Сработала защита LZ_W3E_main; Отключенные выключатели: Q3, QS2
2026-03-31 11:06:48,939 - INFO - Поврежденный элемент: W3E; Тип КЗ: two_phase; Ток КЗ: 1039 А; Сработала защита LZ_W3E_res; Отключенные выключатели: Q3, QS2
2026-03-31 11:06:48,939 - INFO - Поврежденный элемент: B2; Тип КЗ: two_phase; Ток КЗ: 1550 А; Сработала защита BZ_B2_main; Отключенные выключатели: QS2, QT1_LV
2026-03-31 11:06:48,939 - INFO - Поврежденный элемент: B1; Тип КЗ: two_phase; Ток КЗ: 2432 А; Сработала защита BZ_B1_main_1; Отключенные выключатели: QS1, QT1_HV
